Time,Point,Error
02-12-2017 12:42:09,0,Error In Compile !
02-12-2017 13:12:05,10,None
03-12-2017 00:21:38,0,Error In Compile !
03-12-2017 00:37:51,10,None
03-12-2017 12:01:45,0,Error In Compile !
03-12-2017 13:32:16,0,Error In Compile !
03-12-2017 13:48:42,10,None
03-12-2017 13:54:32,10,None
03-12-2017 14:01:18,3,None
03-12-2017 14:03:02,10,None
05-12-2017 00:32:13,0,Error In Compile !
